uid,image,was_refined,gcrf_iterations,draft_ppv,final_ppv,draft_npv,final_npv,draft_sensitivity,final_sensitivity,draft_specificity,final_specificity,draft_f1_clinical,final_f1_clinical,draft_chair_i,final_chair_i,draft_chair_s,final_chair_s,draft_truthful_rate,final_truthful_rate,draft_halluc_rate,final_halluc_rate,draft_fabrication,final_fabrication,draft_danger_phrases,final_danger_phrases,draft_contradiction_count,final_contradiction_count,draft_monotone_score,final_monotone_score,draft_is_monotone,final_is_monotone,draft_report_length_words,final_report_length_words,draft_cx_f1,final_cx_f1,draft_cx_hallucination_pct,final_cx_hallucination_pct,final_cx_n_hallucinated,final_cx_n_missed,final_cx_hallucinated_conditions,final_cx_missed_conditions,draft_hallucination_score,hallucination_score,delta_hallucination_score,hallucination_class,final_monotone_score.1,final_npv_h,final_ppv_h,final_sensitivity_h,final_specificity_h,final_chair_i_h,final_chair_s_h,final_truthful_rate_h,final_monotone_score_h,final_is_monotone_h,new_score,new_class,old_score,version
7,7_IM-2263-1001.dcm.png,False,1,0.0,0.0,0.9,0.9,0.0,0.0,0.6429,0.6429,0.0,0.0,1.0,1.0,0.6,0.6,0.4,0.4,0.6,0.6,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.0,0.0,0.0,0.0,0,1,,Atelectasis,56.0,56.0,0.0,High,0.2222,0.9,0.0,0.0,0.6429,1.0,0.6,0.4,0.2222,0,47.38,Moderate,56.0,v2+GCRF
15,15_IM-0324-1001.dcm.png,False,1,0.4,0.4,0.9,0.9,0.6667,0.6667,0.75,0.75,0.5,0.5,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.0,0.0,50.0,50.0,1,3,Pneumothorax,Pleural Effusion; Support Devices; No Finding,49.5,49.5,0.0,Moderate,0.2222,0.9,0.4,0.6667,0.75,0.6,0.6,0.4,0.2222,0,44.42,Moderate,49.5,v2+GCRF
43,43_IM-2070-1001.dcm.png,False,1,0.0,0.0,1.0,1.0,0.0,0.0,0.6667,0.6667,0.0,0.0,1.0,1.0,0.6,0.6,0.4,0.4,0.6,0.6,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.0,0.0,0.0,0.0,0,0,,,56.0,56.0,0.0,High,0.2222,1.0,0.0,0.0,0.6667,1.0,0.6,0.4,0.2222,0,45.69,Moderate,56.0,v2+GCRF
49,49_IM-2110-1001.dcm.png,False,1,0.5,0.5,0.5556,0.5556,0.4286,0.4286,0.625,0.625,0.4615,0.4615,0.5,0.5,0.6,0.6,0.4,0.4,0.6,0.6,1,1,0,0,0,0,0.3333,0.3333,1,1,30,30,0.3333,0.3333,0.0,0.0,0,4,,Lung Opacity; Pneumonia; Pleural Other; No Finding,38.5,38.5,0.0,Moderate,0.3333,0.5556,0.5,0.4286,0.625,0.5,0.6,0.4,0.3333,1,41.8,Moderate,38.5,v2+GCRF
50,50_IM-2118-2001.dcm.png,True,2,0.6,0.6667,0.9,0.8333,0.75,0.5,0.8182,0.9091,0.6667,0.5714,0.4,0.3333,0.5,0.25,0.5,0.75,0.5,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,20,26,0.6667,0.6667,0.0,0.0,0,1,,Cardiomegaly,31.5,20.42,-11.08,Low,0.2222,0.8333,0.6667,0.5,0.9091,0.3333,0.25,0.75,0.2222,0,20.45,Low,20.42,v2+GCRF
57,57_IM-2170-1001-0002.dcm.png,False,1,0.75,0.75,0.8182,0.8182,0.6,0.6,0.9,0.9,0.6667,0.6667,0.25,0.25,0.2,0.2,0.8,0.8,0.2,0.2,1,1,0,0,0,0,0.1111,0.1111,0,0,26,26,0.0,0.0,100.0,100.0,1,2,Pleural Effusion,Consolidation; No Finding,30.75,30.75,0.0,Moderate,0.1111,0.8182,0.75,0.6,0.9,0.25,0.2,0.8,0.1111,0,31.24,Moderate,30.75,v2+GCRF
60,60_IM-2192-1001.dcm.png,False,1,0.6,0.6,0.9,0.9,0.75,0.75,0.8182,0.8182,0.6667,0.6667,0.4,0.4,0.3333,0.3333,0.6667,0.6667,0.3333,0.3333,1,1,0,0,0,0,0.3333,0.3333,1,1,34,34,0.0,0.0,100.0,100.0,1,2,Pneumothorax,Lung Lesion; Pleural Effusion,40.67,40.67,0.0,Moderate,0.3333,0.9,0.6,0.75,0.8182,0.4,0.3333,0.6667,0.3333,1,40.22,Moderate,40.67,v2+GCRF
63,63_IM-2210-0001-0001.dcm.png,False,1,0.6,0.6,0.9,0.9,0.75,0.75,0.8182,0.8182,0.6667,0.6667,0.4,0.4,0.2,0.2,0.8,0.8,0.2,0.2,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.4,0.4,0.0,0.0,0,3,,Edema; Pleural Effusion; Support Devices,21.0,21.0,0.0,Low,0.2222,0.9,0.6,0.75,0.8182,0.4,0.2,0.8,0.2222,0,20.38,Low,21.0,v2+GCRF
67,67_IM-2243-8001.dcm.png,False,1,0.2,0.2,0.7,0.7,0.25,0.25,0.6364,0.6364,0.2222,0.2222,0.8,0.8,0.6,0.6,0.4,0.4,0.6,0.6,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.0,0.0,0.0,0.0,0,4,,Lung Opacity; Pleural Effusion; Fracture; No Finding,49.0,49.0,0.0,Moderate,0.2222,0.7,0.2,0.25,0.6364,0.8,0.6,0.4,0.2222,0,45.63,Moderate,49.0,v2+GCRF
69,69_IM-2258-1001.dcm.png,False,1,0.75,0.75,0.9091,0.9091,0.75,0.75,0.9091,0.9091,0.75,0.75,0.25,0.25,0.25,0.25,0.75,0.75,0.25,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.0,0.0,100.0,100.0,1,1,Pneumothorax,Pleural Effusion,32.5,32.5,0.0,Moderate,0.2222,0.9091,0.75,0.75,0.9091,0.25,0.25,0.75,0.2222,0,32.31,Moderate,32.5,v2+GCRF
75,75_IM-2303-1001.dcm.png,False,1,0.0,0.0,1.0,1.0,0.0,0.0,0.7333,0.7333,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.3333,0.3333,1,1,21,21,0.0,0.0,0.0,0.0,0,1,,Support Devices,52.5,52.5,0.0,High,0.3333,1.0,0.0,0.0,0.7333,1.0,0.5,0.5,0.3333,1,43.47,Moderate,52.5,v2+GCRF
79,79_IM-2329-1001.dcm.png,False,1,0.0,0.0,0.9091,0.9091,0.0,0.0,0.7143,0.7143,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,0,0,0.2222,0.2222,0,0,18,18,0.0,0.0,0.0,0.0,0,2,,Support Devices; No Finding,52.5,52.5,0.0,High,0.2222,0.9091,0.0,0.0,0.7143,1.0,0.5,0.5,0.2222,0,43.87,Moderate,52.5,v2+GCRF
94,94_IM-2436-1001.dcm.png,False,1,0.6,0.6,0.8,0.8,0.6,0.6,0.8,0.8,0.6,0.6,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.4,1,1,0,0,0,0,0.2222,0.2222,0,0,26,26,0.3333,0.3333,50.0,50.0,1,3,Consolidation,Lung Opacity; Pleural Effusion; No Finding,35.5,35.5,0.0,Moderate,0.2222,0.8,0.6,0.6,0.8,0.4,0.4,0.6,0.2222,0,35.12,Moderate,35.5,v2+GCRF
99,99_IM-2476-1001.dcm.png,False,1,0.6,0.6,1.0,1.0,1.0,1.0,0.8333,0.8333,0.75,0.75,0.4,0.4,0.4,0.4,0.6,0.6,0.4,0.4,1,1,0,0,0,0,0.2222,0.2222,0,0,31,31,0.0,0.0,50.0,50.0,1,0,Pneumothorax,,35.5,35.5,0.0,Moderate,0.2222,1.0,0.6,1.0,0.8333,0.4,0.4,0.6,0.2222,0,31.86,Moderate,35.5,v2+GCRF
103,103_IM-0023-1001.dcm.png,True,2,0.6,0.75,0.8,0.8182,0.6,0.6,0.8,0.9,0.6,0.6667,0.4,0.25,0.4,0.25,0.6,0.75,0.4,0.25,1,1,0,0,0,0,0.2222,0.2222,0,0,28,26,0.5,0.8,0.0,0.0,0,1,,No Finding,28.0,17.5,-10.5,Low,0.2222,0.8182,0.75,0.6,0.9,0.25,0.25,0.75,0.2222,0,18.75,Low,17.5,v2+GCRF
